CASE_NUMBER,CASE_STATUS,RECEIVED_DATE,DECISION_DATE,EMPLOYER_NAME,SOC_CODE,SOC_NAME,JOB_TITLE,WAGE_RATE_OF_PAY_FROM,WAGE_RATE_OF_PAY_TO,WAGE_UNIT_OF_PAY,WORKSITE_CITY,WORKSITE_STATE,WORKSITE_POSTAL_CODE
I-200-24000308,Certified,2025-07-30,2025-08-07,PALANTIR TECHNOLOGIES INC,15-1252.00,Computer Occupations,Distinguished Software Engineer,384000,398150,Year,Boston,MA,02110
I-200-24000309,Certified,2025-11-04,2025-11-30,ANTHROPIC PBC,15-1252.00,Computer Occupations,Principal Software Architect,368500,384799,Year,Denver,CO,80202
I-200-24000310,Certified,2025-08-29,2025-09-27,STRIPE INC,15-1252.00,Computer Occupations,Principal Software Architect,327000,347000,Year,Chicago,IL,60601
I-200-24000311,Certified,2025-01-06,2025-01-18,AIRBNB INC,15-1252.00,Computer Occupations,Distinguished Software Engineer,373500,381702,Year,Austin,TX,78701
I-200-24000312,Certified,2025-12-20,2026-01-15,STRIPE INC,15-1252.00,Computer Occupations,Distinguished Software Engineer,368500,380478,Year,Chicago,IL,60601
I-200-24000313,Certified,2025-11-01,2025-11-15,APPLE INC,15-1252.00,Computer Occupations,Distinguished Software Engineer,352000,368687,Year,Austin,TX,78701
I-200-24000314,Certified,2025-08-25,2025-09-10,CLOUDFLARE INC,15-1252.00,Computer Occupations,Distinguished Software Engineer,343500,361827,Year,Austin,TX,78701
I-200-24000315,Certified,2026-03-15,2026-04-11,OPENAI LLC,15-1252.00,Computer Occupations,Principal Software Architect,407500,415851,Year,Austin,TX,78701
I-200-24000316,Certified,2025-08-17,2025-09-01,OPENAI LLC,15-1252.00,Computer Occupations,Distinguished Software Engineer,335500,348615,Year,Boston,MA,02110
I-200-24000317,Certified,2025-10-04,2025-10-12,STRIPE INC,15-1252.00,Computer Occupations,Principal Software Architect,371000,380545,Year,Boston,MA,02110
I-200-24000318,Certified,2024-12-23,2025-01-20,UBER TECHNOLOGIES INC,15-1252.00,Computer Occupations,Distinguished Software Engineer,375500,389380,Year,Boston,MA,02110
I-200-24000319,Certified,2025-12-25,2026-01-09,PALANTIR TECHNOLOGIES INC,15-1252.00,Computer Occupations,Distinguished Software Engineer,345500,354955,Year,Chicago,IL,60601
I-200-24000320,Certified,2025-11-29,2025-12-29,STRIPE INC,15-1252.00,Computer Occupations,Principal Software Architect,361000,370464,Year,Chicago,IL,60601
I-200-24000321,Certified,2026-04-29,2026-05-08,AMAZON.COM SERVICES LLC,15-1252.00,Computer Occupations,Principal Software Architect,359000,366638,Year,Austin,TX,78701
I-200-24000322,Certified,2025-07-05,2025-07-27,META PLATFORMS INC,15-1252.00,Computer Occupations,Principal Software Architect,364500,384019,Year,Denver,CO,80202
I-200-24000323,Certified,2025-05-14,2025-05-31,APPLE INC,15-1252.00,Computer Occupations,Principal Software Architect,354500,374094,Year,Chicago,IL,60601
I-200-24000324,Certified,2025-02-25,2025-03-05,ANTHROPIC PBC,15-1252.00,Computer Occupations,Principal Software Architect,378500,383886,Year,Denver,CO,80202
I-200-24000325,Certified,2025-09-24,2025-10-16,UBER TECHNOLOGIES INC,15-1252.00,Computer Occupations,Distinguished Software Engineer,374500,390304,Year,Denver,CO,80202
I-200-24000326,Certified,2025-12-09,2025-12-25,UBER TECHNOLOGIES INC,15-1252.00,Computer Occupations,Distinguished Software Engineer,361000,371270,Year,Denver,CO,80202
I-200-24000327,Certified,2025-02-13,2025-03-07,UBER TECHNOLOGIES INC,15-1252.00,Computer Occupations,Distinguished Software Engineer,285500,303989,Year,Boston,MA,02110
I-200-24000328,Certified,2025-06-01,2025-06-15,OUTLIER CORP,15-1252.00,Computer Occupations,Distinguished Software Engineer,2500000,2500000,Year,Denver,CO,80202
I-200-24000329,Certified,2026-01-04,2026-01-26,DATADOG INC,15-1252.00,Computer Occupations,Distinguished Software Engineer,344000,357208,Year,Atlanta,GA,30303
I-200-24000330,Certified,2026-04-06,2026-04-26,APPLE INC,15-1252.00,Computer Occupations,Principal Software Architect,326500,344824,Year,Raleigh,NC,27601
I-200-24000331,Certified,2025-07-18,2025-08-04,AIRBNB INC,15-1252.00,Computer Occupations,Distinguished Software Engineer,313000,330873,Year,Salt Lake City,UT,84101
I-200-24000332,Certified,2026-03-15,2026-04-14,UBER TECHNOLOGIES INC,15-1252.00,Computer Occupations,Principal Software Architect,298500,307931,Year,Salt Lake City,UT,84101
I-200-24000333,Certified,2025-12-14,2026-01-07,OPENAI LLC,15-1252.00,Computer Occupations,Principal Software Architect,313000,321062,Year,Salt Lake City,UT,84101
I-200-24000334,Certified,2025-06-07,2025-07-07,OPENAI LLC,15-1252.00,Computer Occupations,Distinguished Software Engineer,292000,299222,Year,Raleigh,NC,27601
I-200-24000335,Certified,2025-10-30,2025-11-28,MICROSOFT CORP,15-1252.00,Computer Occupations,Principal Software Architect,332500,341438,Year,Salt Lake City,UT,84101
I-200-24000336,Certified,2025-05-27,2025-06-03,AMAZON.COM SERVICES LLC,15-1252.00,Computer Occupations,Distinguished Software Engineer,353500,365759,Year,Atlanta,GA,30303
I-200-24000337,Certified,2026-02-13,2026-03-10,STRIPE INC,15-1252.00,Computer Occupations,Principal Software Architect,323000,337906,Year,Remote,US,00000
I-200-24000338,Certified,2026-04-03,2026-04-13,MICROSOFT CORP,15-1252.00,Computer Occupations,Principal Software Architect,263000,275488,Year,Atlanta,GA,30303
I-200-24000339,Certified,2025-01-26,2025-02-21,MICROSOFT CORP,15-1252.00,Computer Occupations,Principal Software Architect,353500,361718,Year,Raleigh,NC,27601
I-200-24000340,Certified,2026-03-21,2026-04-11,SNOWFLAKE INC,15-1252.00,Computer Occupations,Principal Software Architect,298000,306908,Year,Salt Lake City,UT,84101
I-200-24000341,Certified,2025-08-11,2025-09-02,DATADOG INC,15-1252.00,Computer Occupations,Principal Software Architect,322500,337419,Year,Atlanta,GA,30303
I-200-24000342,Certified,2026-01-21,2026-02-10,DATADOG INC,15-1252.00,Computer Occupations,Distinguished Software Engineer,358000,363254,Year,Atlanta,GA,30303
I-200-24000343,Certified,2025-02-22,2025-03-11,OPENAI LLC,15-1252.00,Computer Occupations,Principal Software Architect,320000,331748,Year,Salt Lake City,UT,84101
I-200-24000344,Certified,2025-06-01,2025-06-15,OUTLIER CORP,15-1252.00,Computer Occupations,Distinguished Software Engineer,2500000,2500000,Year,Remote,US,00000
I-200-24000345,Certified,2025-05-14,2025-06-10,AMAZON.COM SERVICES LLC,15-1244.00,Computer Occupations,Associate Cloud Engineer,161000,174874,Year,Sunnyvale,CA,94086
I-200-24000346,Certified,2025-10-29,2025-11-15,DATADOG INC,15-1244.00,Computer Occupations,Associate Cloud Engineer,140500,157424,Year,New York,NY,10001
I-200-24000347,Certified,2025-01-04,2025-01-26,OPENAI LLC,15-1244.00,Computer Occupations,Systems Infrastructure Engineer I,156500,174840,Year,Sunnyvale,CA,94086
I-200-24000348,Certified,2025-07-11,2025-08-03,AMAZON.COM SERVICES LLC,15-1244.00,Computer Occupations,Systems Infrastructure Engineer I,167500,175776,Year,Seattle,WA,98101
I-200-24000349,Certified,2025-08-26,2025-09-20,APPLE INC,15-1244.00,Computer Occupations,Systems Infrastructure Engineer I,142000,154885,Year,New York,NY,10001
I-200-24000350,Certified,2025-04-11,2025-05-05,ANTHROPIC PBC,15-1244.00,Computer Occupations,Systems Infrastructure Engineer I,139000,145950,Year,New York,NY,10001
I-200-24000351,Certified,2026-01-30,2026-02-16,APPLE INC,15-1244.00,Computer Occupations,Systems Infrastructure Engineer I,146000,157730,Year,San Francisco,CA,94105
I-200-24000352,Certified,2025-08-29,2025-09-09,SNOWFLAKE INC,15-1244.00,Computer Occupations,Associate Cloud Engineer,138000,148347,Year,Sunnyvale,CA,94086
I-200-24000353,Certified,2025-09-15,2025-09-26,APPLE INC,15-1244.00,Computer Occupations,Systems Infrastructure Engineer I,138000,152568,Year,Sunnyvale,CA,94086
I-200-24000354,Certified,2025-01-22,2025-02-06,SNOWFLAKE INC,15-1244.00,Computer Occupations,Associate Cloud Engineer,164000,180690,Year,San Francisco,CA,94105
I-200-24000355,Certified,2025-09-21,2025-10-13,PALANTIR TECHNOLOGIES INC,15-1244.00,Computer Occupations,Associate Cloud Engineer,139000,145303,Year,Seattle,WA,98101
I-200-24000356,Certified,2026-03-26,2026-04-22,STRIPE INC,15-1244.00,Computer Occupations,Associate Cloud Engineer,143000,154220,Year,New York,NY,10001
I-200-24000357,Certified,2026-02-07,2026-02-26,STRIPE INC,15-1244.00,Computer Occupations,Systems Infrastructure Engineer I,150000,164865,Year,Seattle,WA,98101
I-200-24000358,Certified,2026-02-14,2026-03-14,APPLE INC,15-1244.00,Computer Occupations,Associate Cloud Engineer,153000,158650,Year,New York,NY,10001
I-200-24000359,Certified,2025-11-11,2025-11-25,META PLATFORMS INC,15-1244.00,Computer Occupations,Associate Cloud Engineer,135000,145401,Year,New York,NY,10001
I-200-24000360,Certified,2025-06-01,2025-06-15,OUTLIER CORP,15-1244.00,Computer Occupations,Systems Infrastructure Engineer I,2500000,2500000,Year,San Francisco,CA,94105
I-200-24000361,Certified,2025-05-31,2025-06-22,META PLATFORMS INC,15-1244.00,Computer Occupations,Associate Cloud Engineer,141500,146742,Year,Boston,MA,02110
I-200-24000362,Certified,2025-08-31,2025-09-15,PALANTIR TECHNOLOGIES INC,15-1244.00,Computer Occupations,Associate Cloud Engineer,133500,143508,Year,Chicago,IL,60601
I-200-24000363,Certified,2026-01-23,2026-02-19,APPLE INC,15-1244.00,Computer Occupations,Systems Infrastructure Engineer I,158500,171051,Year,Chicago,IL,60601
I-200-24000364,Certified,2025-09-25,2025-10-18,STRIPE INC,15-1244.00,Computer Occupations,Systems Infrastructure Engineer I,119500,133511,Year,Chicago,IL,60601
I-200-24000365,Certified,2025-04-27,2025-05-07,SNOWFLAKE INC,15-1244.00,Computer Occupations,Systems Infrastructure Engineer I,137500,147372,Year,Austin,TX,78701
I-200-24000366,Certified,2026-02-23,2026-03-07,OPENAI LLC,15-1244.00,Computer Occupations,Systems Infrastructure Engineer I,114000,124499,Year,Boston,MA,02110
I-200-24000367,Certified,2026-03-31,2026-04-09,AIRBNB INC,15-1244.00,Computer Occupations,Systems Infrastructure Engineer I,157500,164683,Year,Chicago,IL,60601
I-200-24000368,Certified,2025-12-25,2026-01-10,UBER TECHNOLOGIES INC,15-1244.00,Computer Occupations,Associate Cloud Engineer,129500,143870,Year,Denver,CO,80202
I-200-24000369,Certified,2025-03-13,2025-04-08,APPLE INC,15-1244.00,Computer Occupations,Systems Infrastructure Engineer I,135500,149195,Year,Denver,CO,80202
I-200-24000370,Certified,2024-12-19,2025-01-12,AMAZON.COM SERVICES LLC,15-1244.00,Computer Occupations,Systems Infrastructure Engineer I,132500,146287,Year,Austin,TX,78701
I-200-24000371,Certified,2025-06-26,2025-07-16,DATADOG INC,15-1244.00,Computer Occupations,Associate Cloud Engineer,142000,149125,Year,Chicago,IL,60601
I-200-24000372,Certified,2025-10-26,2025-11-22,SNOWFLAKE INC,15-1244.00,Computer Occupations,Associate Cloud Engineer,139500,151029,Year,Chicago,IL,60601
I-200-24000373,Certified,2026-01-15,2026-01-25,AIRBNB INC,15-1244.00,Computer Occupations,Associate Cloud Engineer,117500,136148,Year,Denver,CO,80202
I-200-24000374,Certified,2025-11-20,2025-12-04,AMAZON.COM SERVICES LLC,15-1244.00,Computer Occupations,Associate Cloud Engineer,127000,143699,Year,Chicago,IL,60601
I-200-24000375,Certified,2025-09-14,2025-10-10,UBER TECHNOLOGIES INC,15-1244.00,Computer Occupations,Associate Cloud Engineer,132500,139362,Year,Austin,TX,78701
I-200-24000376,Certified,2025-06-01,2025-06-15,OUTLIER CORP,15-1244.00,Computer Occupations,Systems Infrastructure Engineer I,2500000,2500000,Year,Boston,MA,02110
I-200-24000377,Certified,2025-08-01,2025-08-09,DATADOG INC,15-1244.00,Computer Occupations,Associate Cloud Engineer,127500,143023,Year,Atlanta,GA,30303
I-200-24000378,Certified,2025-11-04,2025-11-16,SNOWFLAKE INC,15-1244.00,Computer Occupations,Associate Cloud Engineer,112500,130899,Year,Raleigh,NC,27601
I-200-24000379,Certified,2025-02-25,2025-03-20,SNOWFLAKE INC,15-1244.00,Computer Occupations,Systems Infrastructure Engineer I,107000,118443,Year,Atlanta,GA,30303
I-200-24000380,Certified,2026-02-22,2026-03-09,DATADOG INC,15-1244.00,Computer Occupations,Associate Cloud Engineer,128000,136912,Year,Salt Lake City,UT,84101
I-200-24000381,Certified,2025-10-24,2025-11-11,CLOUDFLARE INC,15-1244.00,Computer Occupations,Associate Cloud Engineer,119500,125054,Year,Salt Lake City,UT,84101
I-200-24000382,Certified,2025-02-10,2025-03-06,CLOUDFLARE INC,15-1244.00,Computer Occupations,Systems Infrastructure Engineer I,111000,120693,Year,Salt Lake City,UT,84101
I-200-24000383,Certified,2025-05-14,2025-06-03,SNOWFLAKE INC,15-1244.00,Computer Occupations,Systems Infrastructure Engineer I,114000,129299,Year,Raleigh,NC,27601
I-200-24000384,Certified,2025-09-15,2025-09-29,UBER TECHNOLOGIES INC,15-1244.00,Computer Occupations,Systems Infrastructure Engineer I,127000,132848,Year,Remote,US,00000
I-200-24000385,Certified,2025-08-20,2025-09-16,MICROSOFT CORP,15-1244.00,Computer Occupations,Systems Infrastructure Engineer I,119500,134827,Year,Remote,US,00000
I-200-24000386,Certified,2025-02-11,2025-02-26,APPLE INC,15-1244.00,Computer Occupations,Systems Infrastructure Engineer I,130500,148207,Year,Atlanta,GA,30303
I-200-24000387,Certified,2025-12-06,2025-12-19,SNOWFLAKE INC,15-1244.00,Computer Occupations,Associate Cloud Engineer,114500,124503,Year,Raleigh,NC,27601
I-200-24000388,Certified,2025-10-09,2025-10-27,STRIPE INC,15-1244.00,Computer Occupations,Associate Cloud Engineer,122500,137021,Year,Remote,US,00000
I-200-24000389,Certified,2025-06-20,2025-07-20,OPENAI LLC,15-1244.00,Computer Occupations,Systems Infrastructure Engineer I,119500,132036,Year,Raleigh,NC,27601
I-200-24000390,Certified,2025-06-16,2025-07-03,APPLE INC,15-1244.00,Computer Occupations,Associate Cloud Engineer,125000,144469,Year,Salt Lake City,UT,84101
I-200-24000391,Certified,2025-04-16,2025-04-24,META PLATFORMS INC,15-1244.00,Computer Occupations,Associate Cloud Engineer,118000,132327,Year,Raleigh,NC,27601
I-200-24000392,Certified,2026-02-25,2026-03-16,MICROSOFT CORP,15-1244.00,Computer Occupations,Systems Infrastructure Engineer I,129500,137704,Year,Raleigh,NC,27601
I-200-24000393,Certified,2025-06-01,2025-06-15,OUTLIER CORP,15-1244.00,Computer Occupations,Systems Infrastructure Engineer I,2500000,2500000,Year,Atlanta,GA,30303
I-200-24000394,Certified,2025-05-22,2025-06-05,PALANTIR TECHNOLOGIES INC,15-1244.00,Computer Occupations,Site Reliability Engineer,180500,191531,Year,Seattle,WA,98101
I-200-24000395,Certified,2025-02-19,2025-03-09,OPENAI LLC,15-1244.00,Computer Occupations,Site Reliability Engineer,191000,196686,Year,San Francisco,CA,94105
I-200-24000396,Certified,2025-09-18,2025-10-01,OPENAI LLC,15-1244.00,Computer Occupations,Systems Infrastructure Engineer II,170000,176833,Year,San Francisco,CA,94105
I-200-24000397,Certified,2026-04-14,2026-04-21,AMAZON.COM SERVICES LLC,15-1244.00,Computer Occupations,Site Reliability Engineer,186000,200159,Year,Sunnyvale,CA,94086
I-200-24000398,Certified,2025-03-09,2025-03-31,UBER TECHNOLOGIES INC,15-1244.00,Computer Occupations,Systems Infrastructure Engineer II,183500,198703,Year,San Francisco,CA,94105
I-200-24000399,Certified,2024-12-30,2025-01-24,AIRBNB INC,15-1244.00,Computer Occupations,Site Reliability Engineer,177500,186633,Year,Sunnyvale,CA,94086
I-200-24000400,Certified,2025-06-12,2025-07-05,MICROSOFT CORP,15-1244.00,Computer Occupations,Site Reliability Engineer,169000,180608,Year,San Francisco,CA,94105
I-200-24000401,Certified,2026-02-14,2026-03-15,STRIPE INC,15-1244.00,Computer Occupations,Site Reliability Engineer,213500,229579,Year,San Francisco,CA,94105
I-200-24000402,Certified,2025-03-30,2025-04-25,UBER TECHNOLOGIES INC,15-1244.00,Computer Occupations,Systems Infrastructure Engineer II,168500,177210,Year,San Francisco,CA,94105
I-200-24000403,Certified,2025-05-01,2025-05-13,DATADOG INC,15-1244.00,Computer Occupations,Systems Infrastructure Engineer II,202000,209884,Year,New York,NY,10001
I-200-24000404,Certified,2026-03-12,2026-04-08,META PLATFORMS INC,15-1244.00,Computer Occupations,Site Reliability Engineer,209500,222596,Year,New York,NY,10001
I-200-24000405,Certified,2025-01-07,2025-01-30,STRIPE INC,15-1244.00,Computer Occupations,Systems Infrastructure Engineer II,180000,196844,Year,Seattle,WA,98101
I-200-24000406,Certified,2025-07-05,2025-07-15,CLOUDFLARE INC,15-1244.00,Computer Occupations,Systems Infrastructure Engineer II,171000,184733,Year,San Francisco,CA,94105
I-200-24000407,Certified,2025-08-21,2025-09-06,CLOUDFLARE INC,15-1244.00,Computer Occupations,Systems Infrastructure Engineer II,196000,203295,Year,San Francisco,CA,94105
I-200-24000408,Certified,2025-08-07,2025-08-17,SNOWFLAKE INC,15-1244.00,Computer Occupations,Systems Infrastructure Engineer II,171000,183878,Year,Seattle,WA,98101
I-200-24000409,Certified,2025-04-14,2025-04-28,META PLATFORMS INC,15-1244.00,Computer Occupations,Site Reliability Engineer,165000,179284,Year,Seattle,WA,98101
I-200-24000410,Certified,2024-12-30,2025-01-08,OPENAI LLC,15-1244.00,Computer Occupations,Site Reliability Engineer,164500,183435,Year,New York,NY,10001
I-200-24000411,Certified,2024-12-27,2025-01-10,STRIPE INC,15-1244.00,Computer Occupations,Systems Infrastructure Engineer II,189000,207895,Year,Seattle,WA,98101
I-200-24000412,Certified,2026-03-19,2026-04-16,AIRBNB INC,15-1244.00,Computer Occupations,Site Reliability Engineer,173500,189753,Year,San Francisco,CA,94105
I-200-24000413,Certified,2025-04-07,2025-05-01,MICROSOFT CORP,15-1244.00,Computer Occupations,Site Reliability Engineer,187000,202859,Year,Sunnyvale,CA,94086
I-200-24000414,Certified,2025-06-01,2025-06-15,OUTLIER CORP,15-1244.00,Computer Occupations,Systems Infrastructure Engineer II,2500000,2500000,Year,Sunnyvale,CA,94086
I-200-24000415,Certified,2025-03-30,2025-04-17,UBER TECHNOLOGIES INC,15-1244.00,Computer Occupations,Systems Infrastructure Engineer II,173000,192153,Year,Denver,CO,80202
I-200-24000416,Certified,2026-03-19,2026-04-03,UBER TECHNOLOGIES INC,15-1244.00,Computer Occupations,Systems Infrastructure Engineer II,156000,166133,Year,Austin,TX,78701
I-200-24000417,Certified,2025-11-14,2025-12-14,AMAZON.COM SERVICES LLC,15-1244.00,Computer Occupations,Site Reliability Engineer,149000,167793,Year,Boston,MA,02110
I-200-24000418,Certified,2025-04-14,2025-04-26,APPLE INC,15-1244.00,Computer Occupations,Systems Infrastructure Engineer II,174500,194040,Year,Denver,CO,80202
I-200-24000419,Certified,2025-08-29,2025-09-06,SNOWFLAKE INC,15-1244.00,Computer Occupations,Site Reliability Engineer,152500,158759,Year,Austin,TX,78701
I-200-24000420,Certified,2026-03-08,2026-03-18,PALANTIR TECHNOLOGIES INC,15-1244.00,Computer Occupations,Systems Infrastructure Engineer II,161000,180904,Year,Austin,TX,78701
I-200-24000421,Certified,2025-05-07,2025-05-20,PALANTIR TECHNOLOGIES INC,15-1244.00,Computer Occupations,Systems Infrastructure Engineer II,162500,169255,Year,Austin,TX,78701
I-200-24000422,Certified,2025-03-25,2025-04-17,META PLATFORMS INC,15-1244.00,Computer Occupations,Systems Infrastructure Engineer II,161500,179894,Year,Chicago,IL,60601
I-200-24000423,Certified,2025-09-16,2025-10-11,UBER TECHNOLOGIES INC,15-1244.00,Computer Occupations,Systems Infrastructure Engineer II,167500,183616,Year,Boston,MA,02110
I-200-24000424,Certified,2025-03-28,2025-04-07,STRIPE INC,15-1244.00,Computer Occupations,Systems Infrastructure Engineer II,150000,164132,Year,Denver,CO,80202
I-200-24000425,Certified,2026-01-28,2026-02-09,APPLE INC,15-1244.00,Computer Occupations,Site Reliability Engineer,156500,164800,Year,Denver,CO,80202
I-200-24000426,Certified,2025-10-10,2025-10-21,ANTHROPIC PBC,15-1244.00,Computer Occupations,Systems Infrastructure Engineer II,158500,164775,Year,Austin,TX,78701
I-200-24000427,Certified,2025-10-09,2025-10-18,CLOUDFLARE INC,15-1244.00,Computer Occupations,Systems Infrastructure Engineer II,154500,161260,Year,Boston,MA,02110
I-200-24000428,Certified,2025-07-22,2025-08-04,SNOWFLAKE INC,15-1244.00,Computer Occupations,Site Reliability Engineer,152500,162367,Year,Boston,MA,02110
I-200-24000429,Certified,2025-11-22,2025-12-22,AMAZON.COM SERVICES LLC,15-1244.00,Computer Occupations,Site Reliability Engineer,152500,162151,Year,Denver,CO,80202
I-200-24000430,Certified,2025-06-25,2025-07-07,AMAZON.COM SERVICES LLC,15-1244.00,Computer Occupations,Site Reliability Engineer,194000,208146,Year,Austin,TX,78701
I-200-24000431,Certified,2025-09-30,2025-10-29,DATADOG INC,15-1244.00,Computer Occupations,Systems Infrastructure Engineer II,167000,183130,Year,Boston,MA,02110
I-200-24000432,Certified,2026-04-04,2026-04-19,APPLE INC,15-1244.00,Computer Occupations,Systems Infrastructure Engineer II,164500,171046,Year,Denver,CO,80202
I-200-24000433,Certified,2025-06-01,2025-06-15,OUTLIER CORP,15-1244.00,Computer Occupations,Systems Infrastructure Engineer II,2500000,2500000,Year,Austin,TX,78701
I-200-24000434,Certified,2025-05-20,2025-05-27,META PLATFORMS INC,15-1244.00,Computer Occupations,Site Reliability Engineer,135500,150972,Year,Salt Lake City,UT,84101
I-200-24000435,Certified,2026-01-01,2026-01-22,SNOWFLAKE INC,15-1244.00,Computer Occupations,Systems Infrastructure Engineer II,125500,137113,Year,Raleigh,NC,27601
I-200-24000436,Certified,2025-07-19,2025-08-02,OPENAI LLC,15-1244.00,Computer Occupations,Site Reliability Engineer,142500,150498,Year,Raleigh,NC,27601
I-200-24000437,Certified,2026-01-04,2026-01-17,STRIPE INC,15-1244.00,Computer Occupations,Site Reliability Engineer,147500,159431,Year,Salt Lake City,UT,84101
I-200-24000438,Certified,2026-04-30,2026-05-14,UBER TECHNOLOGIES INC,15-1244.00,Computer Occupations,Site Reliability Engineer,144500,152048,Year,Salt Lake City,UT,84101
I-200-24000439,Certified,2026-04-02,2026-04-18,MICROSOFT CORP,15-1244.00,Computer Occupations,Systems Infrastructure Engineer II,120000,130425,Year,Atlanta,GA,30303
I-200-24000440,Certified,2025-08-15,2025-09-09,APPLE INC,15-1244.00,Computer Occupations,Site Reliability Engineer,133000,148095,Year,Remote,US,00000
I-200-24000441,Certified,2025-10-13,2025-10-30,SNOWFLAKE INC,15-1244.00,Computer Occupations,Systems Infrastructure Engineer II,140000,146491,Year,Salt Lake City,UT,84101
I-200-24000442,Certified,2025-03-27,2025-04-03,DATADOG INC,15-1244.00,Computer Occupations,Site Reliability Engineer,122500,128072,Year,Atlanta,GA,30303
I-200-24000443,Certified,2025-11-25,2025-12-06,DATADOG INC,15-1244.00,Computer Occupations,Site Reliability Engineer,130500,142211,Year,Atlanta,GA,30303
I-200-24000444,Certified,2026-01-01,2026-01-19,STRIPE INC,15-1244.00,Computer Occupations,Site Reliability Engineer,129000,140442,Year,Atlanta,GA,30303
I-200-24000445,Certified,2025-10-12,2025-10-20,STRIPE INC,15-1244.00,Computer Occupations,Site Reliability Engineer,157000,165597,Year,Atlanta,GA,30303
I-200-24000446,Certified,2025-04-18,2025-05-03,SNOWFLAKE INC,15-1244.00,Computer Occupations,Systems Infrastructure Engineer II,152000,165427,Year,Salt Lake City,UT,84101
I-200-24000447,Certified,2025-12-10,2025-12-26,SNOWFLAKE INC,15-1244.00,Computer Occupations,Systems Infrastructure Engineer II,154000,168937,Year,Remote,US,00000
I-200-24000448,Certified,2025-02-28,2025-03-23,ANTHROPIC PBC,15-1244.00,Computer Occupations,Site Reliability Engineer,134500,153313,Year,Remote,US,00000
I-200-24000449,Certified,2025-12-09,2026-01-07,MICROSOFT CORP,15-1244.00,Computer Occupations,Systems Infrastructure Engineer II,137500,146562,Year,Raleigh,NC,27601
I-200-24000450,Certified,2025-03-16,2025-04-14,OPENAI LLC,15-1244.00,Computer Occupations,Systems Infrastructure Engineer II,145000,163750,Year,Remote,US,00000
I-200-24000451,Certified,2025-02-19,2025-03-12,AMAZON.COM SERVICES LLC,15-1244.00,Computer Occupations,Site Reliability Engineer,136000,155720,Year,Atlanta,GA,30303
I-200-24000452,Certified,2025-08-19,2025-08-27,STRIPE INC,15-1244.00,Computer Occupations,Site Reliability Engineer,147500,160827,Year,Raleigh,NC,27601
I-200-24000453,Certified,2025-02-20,2025-03-16,UBER TECHNOLOGIES INC,15-1244.00,Computer Occupations,Systems Infrastructure Engineer II,150000,164283,Year,Raleigh,NC,27601
I-200-24000454,Certified,2025-06-24,2025-07-04,APPLE INC,15-1244.00,Computer Occupations,Systems Infrastructure Engineer II,123000,139521,Year,Atlanta,GA,30303
I-200-24000455,Certified,2025-06-01,2025-06-15,OUTLIER CORP,15-1244.00,Computer Occupations,Systems Infrastructure Engineer II,2500000,2500000,Year,Atlanta,GA,30303
I-200-24000456,Certified,2025-11-12,2025-11-21,AIRBNB INC,15-1244.00,Computer Occupations,Senior Systems Infrastructure Engineer,252500,260978,Year,Seattle,WA,98101
I-200-24000457,Certified,2025-03-10,2025-03-26,META PLATFORMS INC,15-1244.00,Computer Occupations,Senior Site Reliability Engineer,205000,221640,Year,New York,NY,10001
I-200-24000458,Certified,2025-07-22,2025-08-06,MICROSOFT CORP,15-1244.00,Computer Occupations,Senior Systems Infrastructure Engineer,241000,246722,Year,Seattle,WA,98101
I-200-24000459,Certified,2025-08-21,2025-09-10,AMAZON.COM SERVICES LLC,15-1244.00,Computer Occupations,Senior Site Reliability Engineer,215000,227536,Year,Seattle,WA,98101
I-200-24000460,Certified,2025-09-13,2025-09-28,SNOWFLAKE INC,15-1244.00,Computer Occupations,Senior Systems Infrastructure Engineer,238500,252991,Year,New York,NY,10001
I-200-24000461,Certified,2026-02-05,2026-02-25,DATADOG INC,15-1244.00,Computer Occupations,Senior Systems Infrastructure Engineer,219500,233874,Year,Seattle,WA,98101
I-200-24000462,Certified,2026-04-22,2026-05-01,PALANTIR TECHNOLOGIES INC,15-1244.00,Computer Occupations,Senior Systems Infrastructure Engineer,256000,269797,Year,San Francisco,CA,94105
I-200-24000463,Certified,2026-03-31,2026-04-27,META PLATFORMS INC,15-1244.00,Computer Occupations,Senior Systems Infrastructure Engineer,229000,240008,Year,Sunnyvale,CA,94086
I-200-24000464,Certified,2025-07-09,2025-07-29,DATADOG INC,15-1244.00,Computer Occupations,Senior Systems Infrastructure Engineer,247500,262793,Year,Sunnyvale,CA,94086
I-200-24000465,Certified,2025-03-24,2025-04-12,DATADOG INC,15-1244.00,Computer Occupations,Senior Systems Infrastructure Engineer,247500,260189,Year,San Francisco,CA,94105
I-200-24000466,Certified,2026-01-22,2026-02-02,ANTHROPIC PBC,15-1244.00,Computer Occupations,Senior Systems Infrastructure Engineer,270000,281413,Year,New York,NY,10001
I-200-24000467,Certified,2024-12-19,2025-01-12,CLOUDFLARE INC,15-1244.00,Computer Occupations,Senior Systems Infrastructure Engineer,213500,219303,Year,Sunnyvale,CA,94086
I-200-24000468,Certified,2025-04-11,2025-05-04,META PLATFORMS INC,15-1244.00,Computer Occupations,Senior Site Reliability Engineer,229000,234246,Year,Sunnyvale,CA,94086
